# source_cycle=C:\Projects\SiCTransistorModelDriveCycles\sim\research_exports\wltc\wltc_class3_official.csv
# temperature_sample_count=1801
# turning_point_count=415
# minimum_tj_c=60.000000000
# maximum_tj_c=71.169736846
# equivalent_full_cycles=207.000000000
# maximum_delta_tj_c=11.169736846
# weighted_mean_delta_tj_c=1.541530441
# maximum_cycle_duration_s=362.000000000
# weighted_mean_cycle_duration_s=12.466183575
cycle_index,delta_tj_c,mean_tj_c,count,minimum_tj_c,maximum_tj_c,start_time_s,end_time_s,duration_s
202,4.185238511,64.767005134,1.0,62.674385878,66.859624389,1680.000000000,1720.000000000,40.000000000
203,0.083902696,62.452216584,1.0,62.410265236,62.494167932,1735.000000000,1736.000000000,1.000000000
204,0.005566661,60.306240873,1.0,60.303457543,60.309024203,1745.000000000,1746.000000000,1.000000000
205,2.883031352,61.519480457,1.0,60.077964781,62.960996133,1727.000000000,1732.000000000,5.000000000
206,0.401935714,60.271348477,1.0,60.070380619,60.472316334,1748.000000000,1751.000000000,3.000000000
207,0.473420490,61.802657831,1.0,61.565947586,62.039368075,1777.000000000,1780.000000000,3.000000000
208,0.067494641,60.540094792,1.0,60.506347472,60.573842113,1788.000000000,1791.000000000,3.000000000
209,2.905566869,61.499848250,1.0,60.047064815,62.952631684,1764.000000000,1771.000000000,7.000000000
210,8.405763843,64.234700903,1.0,60.031818982,68.437582824,1600.000000000,1650.000000000,50.000000000
211,11.169736846,65.584868423,0.5,60.000000000,71.169736846,1478.000000000,1542.000000000,64.000000000
212,11.169736751,65.584868470,0.5,60.000000094,71.169736846,1542.000000000,1800.000000000,258.000000000
