# source_cycle=C:\Projects\SiCTransistorModelDriveCycles\sim\research_exports\wltc\wltc_class3_official.csv
# vehicle_config=tesla_model3_premium_long_range_rwd_de_wltp
# peak_phase_current_a=186.280351680
# peak_total_loss_w=434.887844423
# peak_unserved_power_w=0.000000000
# loss_energy_wh=31.110648371
time_s,dc_power_requested_w,dc_power_served_w,unserved_power_w,phase_current_rms_a,phase_current_peak_a,device_current_rms_a,device_current_peak_a,junction_temperature_c,rds_on_device_ohm,conduction_loss_w,switching_loss_w,total_loss_w
166.000000,7281.538538,7281.538538,0.000000,19.119959,27.039706,19.119959,27.039706,25.000000,0.002600000,2.851468,43.482401,46.333869
167.000000,10141.861625,10141.861625,0.000000,26.630633,37.661402,26.630633,37.661402,25.000000,0.002600000,5.531687,60.563093,66.094780
168.000000,13263.002704,13263.002704,0.000000,34.826166,49.251636,34.826166,49.251636,25.000000,0.002600000,9.460322,79.201284,88.661607
169.000000,10570.158039,10570.158039,0.000000,27.755259,39.251864,27.755259,39.251864,25.000000,0.002600000,6.008764,63.120706,69.129470
170.000000,3097.867510,3097.867510,0.000000,8.134421,11.503809,8.134421,11.503809,25.000000,0.002600000,0.516117,18.499211,19.015328
171.000000,-3709.073246,-3709.073246,0.000000,9.739333,13.773497,9.739333,13.773497,25.000000,0.002600000,0.739866,22.149084,22.888950
172.000000,-9420.579159,-9420.579159,0.000000,24.736680,34.982948,24.736680,34.982948,25.000000,0.002600000,4.772846,56.255886,61.028732
173.000000,-10745.964848,-10745.964848,0.000000,28.216895,39.904716,28.216895,39.904716,25.000000,0.002600000,6.210307,64.170553,70.380860
174.000000,-6422.308315,-6422.308315,0.000000,16.863781,23.848988,16.863781,23.848988,25.000000,0.002600000,2.218220,38.351426,40.569646
175.000000,-1501.259693,-1501.259693,0.000000,3.942027,5.574869,3.942027,5.574869,25.000000,0.002600000,0.121209,8.964915,9.086124
176.000000,2678.212588,2678.212588,0.000000,7.032486,9.945437,7.032486,9.945437,25.000000,0.002600000,0.385756,15.993202,16.378957
177.000000,7019.497334,7019.497334,-0.000000,18.431888,26.066626,18.431888,26.066626,25.000000,0.002600000,2.649929,41.917597,44.567526
178.000000,8858.334272,8858.334272,0.000000,23.260330,32.895074,23.260330,32.895074,25.000000,0.002600000,4.220135,52.898387,57.118522
179.000000,5900.856141,5900.856141,0.000000,15.494545,21.912596,15.494545,21.912596,25.000000,0.002600000,1.872631,35.237525,37.110156
180.000000,2519.076635,2519.076635,0.000000,6.614624,9.354492,6.614624,9.354492,25.000000,0.002600000,0.341275,15.042906,15.384182
181.000000,896.429082,896.429082,0.000000,2.353855,3.328854,2.353855,3.328854,25.000000,0.002600000,0.043217,5.353112,5.396329
182.000000,-579.882465,-579.882465,0.000000,1.522663,2.153371,1.522663,2.153371,25.000000,0.002600000,0.018084,3.462823,3.480908
183.000000,-3156.668274,-3156.668274,0.000000,8.288821,11.722163,8.288821,11.722163,25.000000,0.002600000,0.535896,18.850345,19.386241
184.000000,-4935.508833,-4935.508833,0.000000,12.959724,18.327817,12.959724,18.327817,25.000000,0.002600000,1.310045,29.472861,30.782906
185.000000,-4930.562126,-4930.562126,0.000000,12.946735,18.309448,12.946735,18.309448,25.000000,0.002600000,1.307420,29.443322,30.750741
186.000000,-3994.251149,-3994.251149,0.000000,10.488157,14.832494,10.488157,14.832494,25.000000,0.002600000,0.858011,23.852051,24.710063
187.000000,-2874.372364,-2874.372364,0.000000,7.547565,10.673868,7.547565,10.673868,25.000000,0.002600000,0.444333,17.164588,17.608921
188.000000,-2029.595080,-2029.595080,-0.000000,5.329337,7.536821,5.329337,7.536821,25.000000,0.002600000,0.221534,12.119920,12.341455
189.000000,-1413.355935,-1413.355935,0.000000,3.711209,5.248441,3.711209,5.248441,25.000000,0.002600000,0.107430,8.439990,8.547420
