# source=UNECE WLTP-DHC-12-07e official workbook
# source_workbook=C:\Projects\SiCTransistorModelDriveCycles\sim\src\drive_cycles\wltp_data\WLTP-DHC-12-07e.xls
# cycle=WLTC Class 3
# test_mode=prescribed_speed_flat_grade
time_s,v_mps,grade_deg
490.0,0.000000000,0.0
491.0,0.000000000,0.0
492.0,0.000000000,0.0
493.0,0.000000000,0.0
494.0,0.000000000,0.0
495.0,0.000000000,0.0
496.0,0.000000000,0.0
497.0,0.000000000,0.0
498.0,0.000000000,0.0
499.0,0.000000000,0.0
500.0,0.000000000,0.0
501.0,0.000000000,0.0
502.0,0.000000000,0.0
503.0,0.000000000,0.0
504.0,0.000000000,0.0
505.0,0.000000000,0.0
506.0,0.000000000,0.0
507.0,0.000000000,0.0
508.0,0.000000000,0.0
509.0,0.000000000,0.0
510.0,0.000000000,0.0
511.0,0.000000000,0.0
512.0,0.138888889,0.0
513.0,0.694444444,0.0
514.0,1.833333333,0.0
515.0,3.277777778,0.0
516.0,4.666666667,0.0
517.0,5.694444444,0.0
518.0,6.083333333,0.0
519.0,6.083333333,0.0
520.0,5.916666667,0.0
521.0,5.638888889,0.0
522.0,5.333333333,0.0
523.0,4.944444444,0.0
524.0,4.305555556,0.0
525.0,3.305555556,0.0
526.0,2.111111111,0.0
527.0,1.111111111,0.0
528.0,0.555555556,0.0
529.0,0.277777778,0.0
530.0,0.000000000,0.0
531.0,0.000000000,0.0
532.0,0.000000000,0.0
533.0,0.055555556,0.0
534.0,0.333333333,0.0
535.0,0.888888889,0.0
536.0,1.444444444,0.0
537.0,2.277777778,0.0
538.0,3.611111111,0.0
539.0,5.222222222,0.0
540.0,6.416666667,0.0
541.0,6.805555556,0.0
542.0,6.805555556,0.0
543.0,6.750000000,0.0
544.0,6.555555556,0.0
545.0,6.194444444,0.0
546.0,5.583333333,0.0
547.0,5.138888889,0.0
548.0,4.777777778,0.0
549.0,4.527777778,0.0
550.0,4.277777778,0.0
551.0,4.083333333,0.0
552.0,3.972222222,0.0
