# source_cycle=C:\Projects\SiCTransistorModelDriveCycles\sim\research_exports\wltc\wltc_class3_official.csv
# vehicle_config=tesla_model3_premium_long_range_rwd_de_wltp
# distance_km=23.262388889
# traction_energy_kwh=3.595816634
# recovered_energy_kwh=0.890225399
# base_auxiliary_energy_kwh=0.150000000
# hvac_energy_kwh=0.000000000
# total_auxiliary_energy_kwh=0.150000000
# net_battery_energy_kwh=2.855591235
time_s,v_mps,accel_mps2,grade_deg,force_inertial_n,force_rolling_n,force_aero_n,force_grade_n,force_total_n,wheel_power_w,dc_power_w,auxiliary_power_w,battery_power_w,friction_brake_power_w
135.000000,0.000000,0.000000,0.000000,0.000000,178.677163,0.000000,0.000000,178.677163,0.000000,0.000000,300.000000,300.000000,0.000000
136.000000,0.000000,0.000000,0.000000,0.000000,178.677163,0.000000,0.000000,178.677163,0.000000,0.000000,300.000000,300.000000,0.000000
137.000000,0.000000,0.027778,0.000000,50.611112,178.677163,0.000000,0.000000,229.288275,0.000000,0.000000,300.000000,300.000000,0.000000
138.000000,0.055556,0.263889,0.000000,480.805556,178.677163,0.000965,0.000000,659.483684,36.637983,39.823894,300.000000,339.823894,0.000000
139.000000,0.527778,0.819444,0.000000,1493.027777,178.677163,0.087114,0.000000,1671.792054,882.334696,959.059452,300.000000,1259.059452,0.000000
140.000000,1.694444,1.361111,0.000000,2479.944444,178.677163,0.897928,0.000000,2659.519535,4506.408100,4898.269674,300.000000,5198.269674,0.000000
141.000000,3.250000,1.430556,0.000000,2606.472223,178.677163,3.303343,0.000000,2788.452729,9062.471368,9850.512357,300.000000,10150.512357,0.000000
142.000000,4.555556,1.000000,0.000000,1822.000000,178.677163,6.490372,0.000000,2007.167535,9143.763216,9938.873061,300.000000,10238.873061,0.000000
143.000000,5.250000,0.486111,0.000000,885.694444,178.677163,8.619965,0.000000,1072.991572,5633.205755,6123.049734,300.000000,6423.049734,0.000000
144.000000,5.527778,0.263889,0.000000,480.805556,178.677163,9.556262,0.000000,669.038981,3698.298811,4019.890012,300.000000,4319.890012,0.000000
145.000000,5.777778,0.402778,0.000000,733.861111,178.677163,10.440194,0.000000,922.978468,5332.764480,5796.483131,300.000000,6096.483131,0.000000
146.000000,6.333333,0.638889,0.000000,1164.055556,178.677163,12.544449,0.000000,1355.277168,8583.422063,9329.806590,300.000000,9629.806590,0.000000
147.000000,7.055556,0.680556,0.000000,1239.972222,178.677163,15.568592,0.000000,1434.217977,10119.204616,10999.135453,300.000000,11299.135453,0.000000
148.000000,7.694444,0.527778,0.000000,961.611111,178.677163,18.515756,0.000000,1158.804029,8916.353224,9691.688287,300.000000,9991.688287,0.000000
149.000000,8.111111,0.291667,0.000000,531.416667,178.677163,20.575368,0.000000,730.669198,5926.539050,6441.890272,300.000000,6741.890272,0.000000
150.000000,8.277778,0.027778,0.000000,50.611112,178.677163,21.429618,0.000000,250.717893,2075.386999,2255.855434,300.000000,2555.855434,0.000000
151.000000,8.166667,-0.361111,0.000000,-657.944444,178.677163,20.858187,0.000000,-458.409094,-3743.674267,-2994.939414,300.000000,-2694.939414,0.000000
152.000000,7.555556,-0.944444,0.000000,-1720.777778,178.677163,17.853350,0.000000,-1524.247265,-11516.534894,-9213.227915,300.000000,-8913.227915,0.000000
153.000000,6.277778,-1.375000,0.000000,-2505.250000,178.677163,12.325336,0.000000,-2314.247501,-14528.331532,-11622.665226,300.000000,-11322.665226,0.000000
154.000000,4.805556,-1.291667,0.000000,-2353.416667,178.677163,7.222276,0.000000,-2167.517228,-10416.124457,-8332.899566,300.000000,-8032.899566,0.000000
155.000000,3.694444,-0.736111,0.000000,-1341.194445,178.677163,4.268597,0.000000,-1158.248685,-4279.085419,-3423.268335,300.000000,-3123.268335,0.000000
156.000000,3.333333,-0.097222,0.000000,-177.138888,178.677163,3.474917,0.000000,5.013191,16.710637,18.163736,300.000000,318.163736,0.000000
157.000000,3.500000,0.291667,0.000000,531.416667,178.677163,3.831096,0.000000,713.924926,2498.737241,2716.018740,300.000000,3016.018740,0.000000
158.000000,3.916667,0.638889,0.000000,1164.055556,178.677163,4.797557,0.000000,1347.530276,5277.826913,5736.768384,300.000000,6036.768384,0.000000
159.000000,4.777778,0.833333,0.000000,1518.333333,178.677163,7.139023,0.000000,1704.149519,8142.047702,8850.051850,300.000000,9150.051850,0.000000
160.000000,5.583333,0.861111,0.000000,1568.944444,178.677163,9.749313,0.000000,1757.370920,9811.987638,10665.203954,300.000000,10965.203954,0.000000
161.000000,6.500000,0.750000,0.000000,1366.500000,178.677163,13.213371,0.000000,1558.390534,10129.538469,11010.367901,300.000000,11310.367901,0.000000
162.000000,7.083333,0.583333,0.000000,1062.833334,178.677163,15.691421,0.000000,1257.201917,8905.180246,9679.543746,300.000000,9979.543746,0.000000
163.000000,7.666667,0.555556,0.000000,1012.222222,178.677163,18.382309,0.000000,1209.281694,9271.159657,10077.347453,300.000000,10377.347453,0.000000
164.000000,8.194444,0.486111,0.000000,885.694444,178.677163,21.000321,0.000000,1085.371928,8894.019967,9667.413008,300.000000,9967.413008,0.000000
165.000000,8.638889,0.361111,0.000000,657.944445,178.677163,23.340098,0.000000,859.961706,7429.113630,8075.123511,300.000000,8375.123511,0.000000
166.000000,8.916667,0.291667,0.000000,531.416666,178.677163,24.865201,0.000000,734.959030,6553.384684,7123.244222,300.000000,7423.244222,0.000000
167.000000,9.222222,0.430556,0.000000,784.472222,178.677163,26.598557,0.000000,989.747942,9127.675462,9921.386372,300.000000,10221.386372,0.000000
